AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_001029838	3.0	0.291113183481	2.0	0.483486222858
NM_183310	0.0	-	0.0	-
NM_001141921	2.0	0.266628431723	2.0	0.299421063699
NM_001287087	49.0	6.32910114568	22.0	9.94573037178
NM_146523	0.0	-	0.0	-
NM_001304955	0.0	-	0.0	-
NM_001033404	0.0	-	0.0	-
NM_203319	83.0	6.90465262116	80.0	7.9810931662
NM_145490	0.0	-	0.0	-
NM_001011534	0.0	-	0.0	-
NM_001170431	28.0	4.62394541995	22.0	6.10196984162
NM_001012450	0.0	-	0.0	-
NM_001289546	0.0	-	0.0	-
NM_001276400	0.0	-	0.0	-
NM_001289791	4.0	0.321346953159	3.0	0.615149881761
NM_017480	0.0	-	0.0	-
NM_026155	1699.0	202.869394628	1580.0	975.420457674
NM_145399	0.0	-	0.0	-
NM_146229	81.0	13.7116455217	75.0	16.4353021844
NM_011786	0.0	-	0.0	-
NM_183319	0.0	-	0.0	-
NM_146224	25.0	1.96983036245	16.0	1.88435656088
NM_011785	0.0	-	0.0	-
NM_146222	6.0	0.902184025629	6.0	1.23029976352
NM_011783	0.0	-	0.0	-
NM_011780	105.0	5.78270392447	84.0	11.6211447542
NM_146221	5.0	0.484233811901	2.0	0.416798467981
NM_007749	31.0	23.7839687024	1.0	1.79418715514
NM_007748	3765.0	2433.3621214	3637.0	3695.83500643
NM_026156	126.0	16.3545499838	126.0	16.9022490876
NM_001164739	0.0	-	0.0	-
NM_007741	0.0	-	0.0	-
NM_007740	5.0	0.443009174108	5.0	0.622711377054
NM_007743	608.0	40.108431969	594.0	49.6779452947
NM_001039000	4.0	0.218338731603	2.0	0.22340073527
NM_007745	0.0	-	0.0	-
NM_007747	1063.0	529.171129501	927.0	724.119289387
NM_010911	223.0	37.4183717654	210.0	52.4214681848
NM_007455	52.0	6.66412371908	51.0	7.39422585147
NM_145394	102.0	13.7255317368	97.0	16.953293545
NM_001024728	0.0	-	0.0	-
NM_001136259	1.0	0.146091574973	1.0	0.222104406052
NM_001024726	2.0	0.196231235424	1.0	0.167144072676
NM_001024720	1.0	0.0188098686134	1.0	0.0203776358347
NM_001024721	0.0	-	0.0	-
NM_008349	165.0	30.7242427431	153.0	49.9110244974
NM_145392	40.0	7.59193242504	35.0	19.0472949171
NM_001177833	15.0	2.28437621874	11.0	2.15547398842
NM_001177832	0.0	-	0.0	-
NM_001347228	407.0	32.7352232199	383.0	153.2373364
NM_010831	82.0	6.24534215575	68.0	10.0106442297
NM_001081130	5.0	0.499396830655	2.0	0.222966947434
NM_001081131	127.0	12.3760847499	120.0	14.9450730493
NM_001331112	0.0	-	0.0	-
NM_001081133	63.0	3.98576452314	53.0	4.63509735737
NM_001081134	0.0	-	0.0	-
NM_001347226	34.0	24.2493866433	31.0	29.1776009491
NM_001347225	0.0	-	0.0	-
NM_001081137	0.0	-	0.0	-
NM_146594	0.0	-	0.0	-
NM_146596	0.0	-	0.0	-
NM_146597	0.0	-	0.0	-
NM_146590	0.0	-	0.0	-
NM_146591	0.0	-	0.0	-
NM_146592	0.0	-	0.0	-
NM_146593	0.0	-	0.0	-
NM_010918	74.0	3.63390037066	67.0	5.29124795132
NM_001048196	0.0	-	0.0	-
NM_146598	0.0	-	0.0	-
NM_146599	0.0	-	0.0	-
NM_010919	1.0	0.168122954508	1.0	0.419080211419
NM_172925	0.0	-	0.0	-
NM_001289479	128.0	15.267985985	113.0	23.337340838
NM_024239	25.0	3.99262788347	25.0	6.75458693698
NM_010168	0.0	-	0.0	-
NM_001270700	0.0	-	0.0	-
NM_133853	19.0	0.98187739903	13.0	1.32454632926
NM_024230	0.0	-	0.0	-
NM_024231	52.0	14.5163408078	46.0	16.9842025232
NM_024236	277.0	68.4519724955	247.0	117.200456812
NM_172416	252.0	28.8501001376	231.0	78.2456132788
NM_001290484	93.0	11.3485674255	84.0	18.5135319501
NM_021518	278.0	46.5564091359	105.0	56.6053412325
NM_183270	5.0	2.0652514016	2.0	2.60972677111
NM_001033400	0.0	-	0.0	-
NM_001080944	0.0	-	0.0	-
NM_001122818	163.0	12.5197059548	151.0	12.8818905403
NM_001081687	1.0	0.377309894618	1.0	0.382759926429
NM_001012325	1.0	0.135730470365	1.0	0.211859737876
NM_001081680	0.0	-	0.0	-
NM_001347596	37.0	1.10747289513	37.0	2.03381291688
NM_177774	0.0	-	0.0	-
NM_172417	4.0	0.358650633822	4.0	0.568455336281
NM_009739	195.0	23.5122040911	120.0	33.3640613836
NM_001081688	0.0	-	0.0	-
NM_177775	0.0	-	0.0	-
NM_001144953	0.0	-	0.0	-
NM_025492	3.0	1.11004489942	3.0	1.81307333572
NM_177776	12.0	1.57538384353	11.0	2.76391194139
NM_001080941	2.0	0.339225931842	2.0	0.472543119048
NM_172923	3.0	0.429352638703	3.0	0.639116760271
NM_170597	0.0	-	0.0	-
NM_025494	94.0	15.4344565185	83.0	24.8843920838
NM_001166715	0.0	-	0.0	-
NM_177779	0.0	-	0.0	-
NM_147179	23.0	2.8717399337	8.0	4.86044351021
NM_030106	0.0	-	0.0	-
NM_010662	1.0	0.208273236872	1.0	0.262164333171
NM_010663	0.0	-	0.0	-
NM_175154	10.0	1.31032306499	9.0	2.3068120566
NM_175155	187.0	8.96818816901	166.0	15.4845201756
NM_001038602	0.0	-	0.0	-
NM_010667	0.0	-	0.0	-
NM_175150	623.0	140.545835461	585.0	194.708310401
NM_175151	16.0	4.03495090818	16.0	6.93300998815
NM_010668	0.0	-	0.0	-
NM_010669	0.0	-	0.0	-
NM_080708	130.0	6.81834826312	102.0	10.2831025011
NM_001035239	2.0	0.102190428296	2.0	0.133365828024
NM_175158	341.0	13.3018934912	330.0	13.581803841
NM_001038609	1.0	0.064030470964	1.0	0.266422222572
NM_008329	28.0	4.20285409412	28.0	5.18577964839
NM_027988	4.0	0.615699613559	2.0	0.656159873878
NM_177765	0.0	-	0.0	-
NM_207110	46.0	3.39247718993	33.0	4.15952060554
NM_019786	74.0	8.41591650715	69.0	10.8536033933
NM_019787	174.0	21.3310336223	163.0	24.3710421906
NM_019784	0.0	-	0.0	-
NM_019785	262.0	22.4458569142	246.0	67.5781879676
NM_013509	1.0	0.123161935569	1.0	0.263972363054
NM_001013368	46.0	4.29321618915	30.0	4.00097484072
NM_201410	28.0	4.20651990668	28.0	6.04357778572
NM_001200041	0.0	-	0.0	-
NM_019788	21.0	2.07045295063	16.0	10.6199285946
NM_178713	0.0	-	0.0	-
NM_145713	650.0	288.549686805	642.0	332.070098334
NM_178711	19.0	2.00834450504	13.0	4.56502664548
NM_178710	348.0	33.7501151344	318.0	39.1795031988
