AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_198967	0.0	-	0.0	-
NM_172803	13.0	0.485275954279	8.0	0.405669848409
NM_172802	0.0	-	0.0	-
NM_133662	93.0	25.6865774966	48.0	29.9187812423
NM_133847	910.0	70.3369807415	595.0	92.717056454
NM_133660	1.0	0.145228044501	1.0	0.178246143428
NM_001168658	91.0	4.75299340715	55.0	33.6548282394
NM_133666	5652.0	1058.19547593	5102.0	1101.07281029
NM_133667	257.0	34.189941766	171.0	42.0595366821
NM_133840	26.0	4.2773230287	21.0	4.9469581074
NM_001290138	0.0	-	0.0	-
NM_001310021	0.0	-	0.0	-
NM_133485	0.0	-	0.0	-
NM_030709	0.0	-	0.0	-
NM_030708	75.0	1.62745640902	66.0	1.84904248953
NM_030707	0.0	-	0.0	-
NM_030705	440.0	34.4334296725	219.0	60.5432913121
NM_030704	191.0	31.6641121277	81.0	41.2617201968
NM_001169153	0.0	-	0.0	-
NM_030702	73.0	8.99967843828	52.0	9.1710616784
NM_030701	27.0	4.17491467836	19.0	5.28171467106
NM_030700	68.0	9.62931611714	64.0	10.4093436629
NM_028478	6.0	0.904077286038	0.0	-
NM_145442	6.0	1.19784245193	4.0	1.17371437135
NM_009569	25.0	1.88114056642	19.0	1.91435642194
NM_145440	0.0	-	0.0	-
NM_145447	5.0	0.438220867905	4.0	0.727192599639
NM_138679	146.0	3.90012684051	123.0	4.17146576082
NM_145445	58.0	10.879344986	43.0	12.2589797905
NM_145444	1.0	0.198325254447	1.0	0.237802319313
NM_138675	74.0	7.39404994442	39.0	27.3688851137
NM_138676	37.0	4.74611684758	35.0	4.98204291668
NM_009560	10.0	0.74206984533	7.0	0.996408583335
NM_138670	577.0	121.816489352	486.0	163.662259304
NM_009566	0.0	-	0.0	-
NM_026838	12.0	1.23595375813	12.0	2.56765659915
NM_028477	0.0	-	0.0	-
NM_199305	60.0	9.97981446134	50.0	10.1777463235
NM_199304	6.0	0.560281146868	5.0	0.592400110686
NM_134122	766.0	157.520646153	573.0	218.638888304
NM_134123	166.0	10.2556093203	141.0	11.1502865278
NM_199301	51.0	9.62629752274	41.0	12.5824334213
NM_199303	0.0	-	0.0	-
NM_199302	32.0	2.41934896033	20.0	2.75693897665
NM_001146007	0.0	-	0.0	-
NM_001146002	0.0	-	0.0	-
NM_001083955	0.0	-	0.0	-
NM_001146000	65.0	4.30366238317	41.0	6.3691265151
NM_029309	0.0	-	0.0	-
NM_001126320	0.0	-	0.0	-
NM_001033164	26.0	6.35349118711	17.0	16.0942814977
NM_030256	452.0	25.5401833306	417.0	27.9913212969
NM_001126325	0.0	-	0.0	-
NM_001126324	0.0	-	0.0	-
NM_001164682	0.0	-	0.0	-
NM_001290706	0.0	-	0.0	-
NM_029300	0.0	-	0.0	-
NM_029303	0.0	-	0.0	-
NM_029305	70.0	28.750397732	69.0	34.9713532008
NM_001164689	0.0	-	0.0	-
NM_029307	0.0	-	0.0	-
NM_029306	0.0	-	0.0	-
NM_175460	1.0	0.0665615158635	0.0	-
NM_025535	417.0	100.192399055	267.0	134.643912192
NM_175466	7.0	0.494347678572	4.0	0.568569851276
NM_175467	10.0	1.09118425607	7.0	1.24551072917
NM_001029993	132.0	10.4467984188	107.0	11.035689544
NM_146947	0.0	-	0.0	-
NM_146946	0.0	-	0.0	-
NM_001033165	137.0	22.5752106548	116.0	32.5164780308
NM_001167885	127.0	6.23623103961	64.0	7.26534506789
NM_028658	26.0	2.49681057177	21.0	2.69834078586
NM_001113406	0.0	-	0.0	-
NM_028654	0.0	-	0.0	-
NM_028655	0.0	-	0.0	-
NM_028657	2973.0	525.878172663	2588.0	544.47059498
NM_001006664	379.0	17.4920867759	238.0	27.1408110711
NM_028651	149.0	13.2323311803	128.0	17.3114960647
NM_016866	6.0	0.556312416847	2.0	0.360332419211
NM_025725	1.0	0.0840004844449	1.0	0.171542869658
NM_145578	169.0	39.2886157732	106.0	57.8118116713
NM_001080794	227.0	15.6277397962	153.0	31.7887050699
NM_173011	1606.0	284.243812121	1352.0	299.507034151
NM_010213	26.0	4.64540127152	24.0	8.30504100001
NM_001159907	128.0	7.61568977076	125.0	7.93928629353
NM_175606	10.0	2.37990305336	6.0	8.13669557434
NM_001243792	0.0	-	0.0	-
NM_008215	0.0	-	0.0	-
NM_145916	9.0	0.983848811276	5.0	0.731432789724
NM_001293791	84.0	5.90999061581	73.0	9.93994334975
NM_001293795	0.0	-	0.0	-
NM_172628	69.0	4.57554709279	62.0	4.82314719575
NM_007395	176.0	16.1691063717	106.0	21.0224769714
NM_025569	1164.0	551.860165347	988.0	643.820440293
NM_153074	0.0	-	0.0	-
NM_153077	0.0	-	0.0	-
NM_001127189	0.0	-	0.0	-
NM_153071	0.0	-	0.0	-
NM_001081100	3.0	0.543752684378	2.0	0.419885266737
NM_025560	25.0	9.29190543983	20.0	9.93589888616
NM_025563	4.0	0.553414956343	1.0	0.946722441039
NM_153079	0.0	-	0.0	-
NM_025567	5522.0	1392.32899462	4841.0	1490.20501144
NM_025566	18.0	2.29134852115	10.0	5.36644806151
NM_146932	0.0	-	0.0	-
NM_146933	0.0	-	0.0	-
NM_146930	0.0	-	0.0	-
NM_008219	0.0	-	0.0	-
NM_146936	0.0	-	0.0	-
NM_146937	0.0	-	0.0	-
NM_146934	0.0	-	0.0	-
NM_001195632	69.0	1.95363338675	55.0	2.64085733553
NM_008212	879.0	148.003215976	582.0	185.413335977
NM_001199154	0.0	-	0.0	-
NM_008210	69.0	19.1279777176	2.0	1.46500114964
NM_008211	176.0	26.5861322529	97.0	71.0525557574
NM_008216	0.0	-	0.0	-
NM_008217	3.0	0.152769487272	2.0	0.361630914415
NM_008214	69.0	10.4439335351	59.0	11.6094159731
NM_001113401	5.0	0.797292733714	3.0	1.14470622148
NM_008814	0.0	-	0.0	-
NM_008817	0.0	-	0.0	-
NM_008810	1281.0	135.080546458	879.0	225.600810029
NM_008811	13.0	1.66400959662	13.0	3.32801919325
NM_008812	1.0	0.0632740093002	0.0	-
NM_183322	0.0	-	0.0	-
NM_008819	55.0	16.5086495451	41.0	20.5722786438
NM_023211	118.0	104.178336884	0.0	-
NM_023210	81.0	7.48026890684	24.0	9.22782333335
NM_178444	99.0	21.4576788256	82.0	29.4943062993
NM_023215	94.0	7.60532846212	30.0	13.3803438334
NM_023214	213.0	7.10923479173	97.0	25.6839053793
NM_023217	159.0	9.80503483487	60.0	28.6721653572
NM_023219	0.0	-	0.0	-
NM_001170935	96.0	9.24257840744	90.0	19.8499606319
NM_011898	97.0	6.36222231292	39.0	13.0024935922
NM_011899	7.0	0.494231743376	0.0	-
NM_011892	0.0	-	0.0	-
NM_011890	64.0	5.16975989268	46.0	14.3807433723
NM_011891	37.0	7.96221318175	30.0	10.38130125
NM_011896	92.0	11.1100327858	40.0	12.7837679937
NM_011897	20.0	2.88507653331	13.0	4.12842887263
